GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
10123	5.8675995	6.200408	6.226476	6.041735	6.2113485	6.348803	6.3743286	6.1270547	6.110365	6.0896645	6.319883	6.7205133	6.4731674	5.942827
10124	8.537548	8.505296	8.084699	8.053753	8.284316	7.513991	9.004567	7.6637797	9.189665	6.8863735	7.795322	8.3272505	8.244509	6.510172
10125	5.951774	6.0744257	6.458025	6.063875	6.2287607	5.9505973	6.4239616	6.080125	6.0185437	5.833784	6.2753663	6.767669	6.236366	5.834978
10127	8.17011	8.537209	7.8702126	8.200424	8.2751875	8.015392	7.7563343	8.204244	8.216396	9.869853	8.326545	8.396864	8.113126	8.260769
10129	6.2939086	6.1903267	6.284468	6.0347447	6.112868	6.168073	6.0520363	6.164054	6.262358	6.0614	6.0117974	6.2654843	6.34815	6.28791
10134	11.784818	11.271825	12.567794	12.37501	11.703223	11.7558775	10.99321	11.329948	11.869857	12.918996	12.367264	11.067362	10.889189	12.237222
10135	8.424532	8.095166	8.132824	8.353659	8.699643	7.9163485	7.87368	9.054635	7.1727376	7.9460435	7.6967545	7.6691613	9.165529	7.3804426
10137	8.1455555	7.6714387	7.679185	7.5614176	7.5532904	7.5743937	7.5114546	8.014512	7.3434687	7.8716974	7.054555	8.224932	7.68928	7.353354
10138	7.575139	7.4358673	7.4136176	6.905378	7.284917	7.335349	7.367232	7.6927004	6.482379	7.4902067	7.3448462	8.34177	7.637094	7.82823
10139	6.651441	6.6397247	6.716997	6.55059	6.70913	6.7484956	6.611777	6.5816116	6.2898064	7.0838428	6.6742964	6.61724	6.244328	6.9375606
10143	6.219355	6.10946	6.0485144	5.9906816	6.0387907	6.1161003	5.977122	6.012597	5.9589443	5.9838223	6.014202	6.010755	5.8607755	6.014735
10144	7.882304	7.037005	7.4736357	6.899203	7.9941506	6.991957	7.195362	8.289776	8.84566	7.1146274	7.699447	8.844331	8.83401	8.069091
10147	7.2574725	6.828313	6.9400034	7.083034	6.7194867	7.135053	6.845999	6.9209795	6.540977	6.9066596	6.602995	6.883573	6.9874086	7.3454943
10148	6.8555064	6.7031846	7.1072836	6.9599085	7.6056795	6.8837624	7.562419	7.6254535	6.2288427	6.2107205	7.1388035	7.87395	7.583724	6.650035
10150	7.3465977	7.226161	7.612979	6.934266	7.404772	7.333768	7.5612206	7.2934465	6.9603105	6.0363297	7.308463	7.654174	7.785369	6.561295
