Genes	GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10099	8.993844	11.972821	8.473397	9.812016	9.468495	9.135502	9.607436	9.104896	9.621903	8.668631	9.335211	8.561928	9.219633	8.897308	9.090221	8.366963	9.112197	8.948596	9.118798	8.929038	9.373099	9.250995
10101	7.4034576	7.6978765	7.6970544	6.9554453	7.7325187	7.3775883	6.9070354	7.5011096	7.2480583	7.400234	7.3814263	7.234924	6.6116543	7.234924	7.183556	7.335349	7.3843946	6.7662325	6.937174	7.2589746	6.8724756	7.1029778
10103	6.702019	6.3631577	6.446345	6.278993	6.3324695	6.500556	6.348459	6.451745	6.5018415	6.7101727	6.663273	6.8556805	6.3673353	6.5013065	6.6373124	6.4488363	6.482803	6.7833447	6.6316667	6.650853	6.6214333	6.3963747
10105	6.994082	7.373954	6.6973567	6.5495987	6.7624135	7.0033607	6.399286	7.5260267	6.5827703	6.4548297	6.8363934	6.807648	6.8150682	6.8890395	6.270883	6.8336105	6.9661527	7.0519366	6.854409	6.8132653	6.8058395	7.816827
10106	9.681582	9.675445	9.878501	10.575525	10.54271	10.599957	10.188095	9.540729	10.293678	10.591804	10.422004	10.269906	10.071504	10.356011	10.338417	10.77699	9.597448	10.664116	9.914152	10.287722	9.831798	10.032897
10112	6.437529	7.2419395	6.95135	6.813588	7.1280284	7.292741	6.846324	6.5595546	6.793114	6.0790563	6.0789475	5.883702	6.1678295	6.157058	6.3321047	5.853349	6.2743382	5.9237547	5.9283414	6.0730963	6.8839602	6.10726
10113	8.453352	7.454714	8.929038	7.5108867	7.705679	8.0244255	7.5933924	7.4297915	8.293253	7.669755	7.8846445	7.8196273	7.2642856	7.233122	7.6503034	7.5842466	7.8533607	7.997552	7.832766	7.4390593	7.8902903	7.762897
1012	6.0705514	6.5378957	6.4958	6.1046495	6.202042	6.42734	6.2029753	5.995447	6.6615977	6.104849	5.806046	5.8728623	6.4511538	5.98512	6.1785846	5.865846	5.9093423	5.946841	6.0793967	5.780702	6.837297	5.775139
10121	9.31382	8.722968	9.302338	9.228043	9.164599	9.444668	9.564203	9.155337	9.338842	9.135502	9.139689	9.198865	9.547748	9.086846	9.017979	9.216053	8.993844	9.215087	9.153474	8.869312	9.316388	9.045284
10123	6.0376625	6.2016664	6.041296	6.4309435	6.161759	6.3877892	6.1789794	6.2314463	6.3645945	6.0619545	6.1388326	6.051624	6.7354054	6.133811	6.378985	5.916355	6.2599034	6.0847197	6.186861	6.0559845	6.320938	6.443647
10124	6.633464	7.5952034	7.2428374	8.772856	7.865793	7.288493	8.573298	7.25132	7.3922586	7.5114546	7.5195427	7.663334	8.062715	7.901299	8.101271	7.248649	7.8640347	7.443917	7.8054123	7.6087804	7.938163	7.386264
10125	6.0089583	6.254775	5.8990602	6.717449	6.1750493	6.780984	6.6861296	6.3110547	7.0288196	6.115469	6.0106406	6.060329	6.487513	6.075156	6.2384768	6.0744424	6.136586	5.985579	6.036663	6.170591	6.726819	6.4081182
10127	8.268076	7.9891286	8.001393	8.173954	8.472354	8.339655	8.185978	8.013911	8.520427	7.8238273	8.02153	7.7220635	8.181165	7.746891	7.6416364	7.3925066	7.807427	8.454012	7.8135886	7.869919	7.9019303	8.0624275
10129	6.389315	6.4971867	6.5600667	6.307031	6.446147	6.2234917	6.38366	6.2783284	6.212864	6.5626006	6.2481546	6.485288	6.4845123	6.3935256	6.4171076	6.404195	6.360783	6.324333	6.6640043	6.351768	6.5477133	6.2476406
10134	11.518684	11.191357	11.11488	11.372001	11.199814	11.811203	11.661828	11.1161375	12.150413	10.713181	11.086757	10.629734	11.077098	11.255815	11.186961	10.974931	11.23981	11.124356	11.385914	11.095155	11.404011	11.099021
10135	8.049773	9.547748	8.735	8.211817	9.047999	8.055512	8.159416	8.483442	8.197231	8.916372	9.203203	9.642508	10.039229	8.78669	9.762675	8.609021	8.784344	10.091738	10.017293	8.989946	8.156698	8.91424
