Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
121642	8.4382305	8.555297	8.250568	8.737994	8.987739	8.277991	8.346094	8.275898	7.7668395	8.596682	7.607993	8.257996	8.862639	8.617685	7.5977845	8.609827	7.8009787	8.20557
121643	6.4393353	6.0974083	5.9104524	6.136037	7.025818	5.777948	5.8595448	6.254692	5.8363113	6.1500535	6.144649	6.01964	6.122162	5.9334626	6.0597568	5.9387183	6.0053163	5.939074
122046	6.296099	6.012839	5.9919167	6.091112	6.067781	6.1389866	6.151279	6.1675854	6.2929296	6.217366	5.891994	6.12566	6.1806984	6.2022743	6.2502413	6.215986	6.1267066	6.197668
122060	6.786393	6.55059	7.1422243	7.101832	6.6119056	6.830039	6.7035193	6.6837406	6.5728393	6.6753244	7.0066648	6.9421797	6.6037884	6.152022	6.7720823	6.406041	6.592728	6.726819
122553	6.322981	6.1968517	6.359637	6.550721	6.5007625	6.3956537	6.021745	6.2070436	6.1393514	6.3583465	6.1206326	6.0955887	6.202864	5.843875	6.1610746	6.278055	6.068471	6.2584815
122622	9.407079	8.351268	9.956615	9.31029	9.878501	8.887215	9.230441	9.042043	10.134144	8.625877	8.825014	8.422232	8.766645	8.279624	8.476024	9.172823	7.7822976	9.357667
122664	6.0535765	6.742413	6.325569	6.378598	7.082594	7.0321765	6.7986746	7.1725044	6.20851	6.842008	6.5753684	6.8455267	6.5195665	6.749274	6.3028007	6.8290434	6.542808	7.0161986
122769	7.467538	7.5917854	7.2557063	7.571581	7.4798303	7.2882833	7.43005	7.2970023	7.466145	7.16344	7.253889	7.240809	7.52295	7.514283	7.391009	7.298726	7.325217	7.4195447
122809	6.2561607	6.089832	5.982886	6.047593	6.1626015	6.171406	6.1309385	6.341459	6.5304995	6.1282134	6.2051225	6.1522827	6.2876325	6.532081	6.0717854	6.2434573	6.394598	6.0360246
122830	6.6822906	6.7804728	6.856032	6.9256763	6.6451936	6.6306424	6.523294	6.841085	6.6941223	6.4132953	6.675896	6.883192	6.5015283	6.5350976	6.626571	6.7719064	6.5889335	6.8110957
