GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
10189	6.3894925	6.0937815	6.565548	6.0964503	6.5119543	6.170167	6.166183	6.429961	6.125684
1019	8.826178	9.388657	9.240015	8.801417	9.540233	9.146768	9.446395	9.038804	8.462638
10193	6.758119	6.949424	6.8542566	6.735067	7.146294	6.7760043	6.8183713	6.7341495	6.935959
10194	7.5344224	6.9335594	7.5675583	7.964253	7.271393	7.6884594	7.53279	7.7580266	7.5067835
10195	9.435218	10.116071	9.89855	9.178987	9.650799	9.081512	9.347385	9.579106	9.100713
10197	8.083183	8.337329	8.282019	8.15729	8.816408	8.530983	8.169495	8.097391	8.177621
10198	7.0502996	6.817525	6.932411	6.671018	6.787948	7.03537	6.7804728	6.781471	6.852041
10199	9.003685	7.998434	8.848741	8.71243	9.158265	9.154875	8.971464	8.618893	8.931266
102	5.868919	5.92255	5.637382	6.130352	6.0274806	6.133835	5.9578915	6.178913	5.7656965
1020	7.6376457	8.505637	7.729817	7.5372014	8.09426	7.729817	7.648089	8.347426	7.854477
10200	6.491761	7.1416087	6.8810177	6.464803	6.8975453	6.300162	6.6188254	6.424644	6.450391
10201	7.4346356	7.238858	7.808753	7.421138	7.6311746	7.858136	7.4379106	7.586563	7.6887183
10203	6.058925	7.3625584	7.0106287	8.072793	6.43353	6.5019383	8.274202	6.6530824	7.482834
10207	6.328539	6.1481977	6.1205587	6.301013	6.193757	5.958995	6.3310957	6.177442	6.118591
10208	7.832155	7.782571	7.6617603	7.4969974	7.717482	7.7530494	7.6733856	8.0303755	7.7382584
10211	9.43402	9.344108	9.812016	9.642024	9.789788	9.452957	9.698929	9.556355	9.5418215
10212	9.789788	9.695999	9.553959	9.526402	9.453518	9.661129	10.104688	9.320106	9.841161
10213	8.07179	9.058543	9.483214	8.442514	9.043864	8.123633	8.967873	9.104513	8.643433
10214	6.3665104	6.939433	6.007522	6.2363214	6.3193693	6.204612	6.1277733	6.3671	6.1297684
10220	6.8046703	6.2663507	6.239891	6.659347	6.432624	6.531429	6.8412685	6.232593	6.6384473
10221	13.187313	11.363785	10.357037	11.209989	10.821917	12.416394	10.556948	12.044996	11.373288
