GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620
10299	8.723759	8.622039	8.474103	10.420395	9.144241	8.7206545	9.874803	9.153474	9.029465	10.598935	9.289619
103	10.929925	11.033325	11.148434	11.7558775	10.933584	10.798882	11.101537	10.725907	10.520423	10.927262	10.749817
1030	6.2429605	6.3375325	6.0695767	6.6981316	6.0034337	6.164054	6.4188247	6.4571457	6.0985723	6.4730563	6.61258
10300	7.180226	7.3851175	7.2656107	7.1542497	7.1001673	7.1855154	7.4339566	7.1930227	7.4771905	7.3274617	7.2943664
10301	5.784642	6.150762	5.9421196	6.0771127	6.0555787	5.9777484	5.730219	5.95281	5.886327	6.066448	5.5055056
10302	6.6594815	7.2202454	7.4160357	6.523884	6.818756	6.879271	6.65764	6.3480816	6.656285	6.432981	6.6561136
10307	10.431703	10.785013	9.799146	11.358718	11.1003685	10.395784	11.333437	10.781565	9.97111	11.582551	10.762786
10309	6.5167685	6.40017	6.3486667	6.242041	6.2538567	6.097943	7.0150166	6.3760386	6.5514174	6.6408067	6.360319
1031	6.306163	6.5470715	6.0845604	6.979574	6.6001763	6.031087	6.6634073	6.9625072	6.8915157	6.691184	6.8955145
10312	8.943928	8.857789	8.970549	9.111242	8.994265	8.136494	8.946547	8.832323	9.381586	9.293782	8.600405
10314	8.808093	9.597448	9.0575285	10.0244875	9.089275	8.812682	8.860976	9.061281	8.642311	8.521226	8.96606
10318	8.695669	8.944784	8.520109	9.155337	8.888857	8.611211	8.874068	8.997895	9.294725	9.371365	8.587289
10319	7.7456975	7.47959	7.488906	6.6237903	7.8592873	6.5810976	7.5013843	7.213921	9.272124	7.007733	6.707294
10322	6.1101837	6.3450303	6.3876286	6.4132953	6.197196	6.2310133	6.3554726	6.1881533	6.2597632	6.15755	6.2603087
10329	9.327533	9.642508	9.27262	10.629734	9.6967	9.906493	9.593143	9.535411	9.849288	9.67607	9.685831
1033	5.924271	6.853228	6.448741	8.095166	6.270099	5.891677	6.059444	6.5231695	6.4669137	5.95562	6.3456964
10331	5.7428393	5.9687834	5.799404	6.0659227	6.00995	5.99643	6.056002	5.948129	6.0413737	6.0798025	5.9692717
10335	6.3356595	6.2468753	6.037842	6.1439457	6.3770432	6.4021935	6.1660852	6.4595265	6.2617455	6.3389926	6.0299535
10342	10.002147	10.134887	10.551194	10.114575	10.1130085	10.241048	10.65917	10.487484	10.82538	10.247369	10.680846
10346	8.066214	7.319666	9.63158	7.946943	7.892583	8.437189	8.062085	8.5156765	8.613807	8.022532	8.002005
