Genes	GSM2367610	GSM2367611	GSM2367612	GSM2367613	GSM2367614	GSM2367615	GSM2367616	GSM2367617	GSM2367618	GSM2367619	GSM2367620	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
10101	7.198136	7.0585327	7.2462792	7.43005	7.3934364	7.624396	7.401525	7.5106254	7.2631755	7.2594414	7.412888	7.400234	7.3814263	7.234924	6.6116543	7.234924	7.183556	7.335349	7.3843946	6.7662325	6.937174	7.2589746	6.8724756	7.1029778
10103	6.4603972	6.6416526	6.570706	6.3537307	6.5515456	6.5308437	6.480484	6.3955674	6.596158	6.626821	6.5380173	6.7101727	6.663273	6.8556805	6.3673353	6.5013065	6.6373124	6.4488363	6.482803	6.7833447	6.6316667	6.650853	6.6214333	6.3963747
10105	7.2204795	6.769233	7.655299	6.605623	6.814724	7.122849	6.770382	7.0517626	6.7325664	6.7333527	7.2667584	6.4548297	6.8363934	6.807648	6.8150682	6.8890395	6.270883	6.8336105	6.9661527	7.0519366	6.854409	6.8132653	6.8058395	7.816827
10106	9.543746	10.641497	9.706224	10.52778	10.189581	10.172541	10.209	9.642508	9.755108	10.010834	9.867904	10.591804	10.422004	10.269906	10.071504	10.356011	10.338417	10.77699	9.597448	10.664116	9.914152	10.287722	9.831798	10.032897
10112	6.090068	6.5699606	5.997506	8.395176	6.2595167	5.9877114	6.0509367	6.3861303	6.267707	6.1366615	6.2989726	6.0790563	6.0789475	5.883702	6.1678295	6.157058	6.3321047	5.853349	6.2743382	5.9237547	5.9283414	6.0730963	6.8839602	6.10726
10113	7.4293904	7.212619	7.4698586	7.2625117	7.598759	7.7365584	8.527145	8.785218	7.9721556	9.184738	8.235544	7.669755	7.8846445	7.8196273	7.2642856	7.233122	7.6503034	7.5842466	7.8533607	7.997552	7.832766	7.4390593	7.8902903	7.762897
1012	6.2134876	6.1465416	5.748419	6.124679	6.1567354	5.910988	5.9977193	5.7713847	6.8729906	6.523294	6.1982775	6.104849	5.806046	5.8728623	6.4511538	5.98512	6.1785846	5.865846	5.9093423	5.946841	6.0793967	5.780702	6.837297	5.775139
10121	8.997476	8.881706	9.219137	9.054192	9.117882	9.225297	9.246995	9.220611	9.645897	9.551022	9.275685	9.135502	9.139689	9.198865	9.547748	9.086846	9.017979	9.216053	8.993844	9.215087	9.153474	8.869312	9.316388	9.045284
10123	6.2778444	6.140608	6.2195954	6.327943	6.116147	6.0562954	5.954502	6.105705	6.277491	6.4031744	6.137165	6.0619545	6.1388326	6.051624	6.7354054	6.133811	6.378985	5.916355	6.2599034	6.0847197	6.186861	6.0559845	6.320938	6.443647
10124	7.4897013	7.0519366	7.2991824	6.919388	7.047865	7.8490076	7.3789744	7.350956	7.418772	7.0409503	7.1938057	7.5114546	7.5195427	7.663334	8.062715	7.901299	8.101271	7.248649	7.8640347	7.443917	7.8054123	7.6087804	7.938163	7.386264
